2025-02-04 15:13:52 install dconf-gsettings-backend:amd64 <none> 0.40.0-3
2025-02-04 15:13:52 status half-installed dconf-gsettings-backend:amd64 0.40.0-3
2025-02-04 15:13:52 status triggers-pending libglib2.0-0:amd64 2.72.4-0ubuntu2.4
2025-02-04 15:13:52 status unpacked dconf-gsettings-backend:amd64 0.40.0-3
2025-02-04 15:13:52 install session-migration:amd64 <none> 0.3.6
2025-02-04 15:13:52 status half-installed session-migration:amd64 0.3.6
2025-02-04 15:13:52 status unpacked session-migration:amd64 0.3.6
2025-02-04 15:13:52 install gsettings-desktop-schemas:all <none> 42.0-1ubuntu1
2025-02-04 15:13:52 status half-installed gsettings-desktop-schemas:all 42.0-1ubuntu1
2025-02-04 15:13:52 status unpacked gsettings-desktop-schemas:all 42.0-1ubuntu1
2025-02-04 15:13:52 install at-spi2-core:amd64 <none> 2.44.0-3
2025-02-04 15:13:52 status half-installed at-spi2-core:amd64 2.44.0-3
2025-02-04 15:13:52 status unpacked at-spi2-core:amd64 2.44.0-3
2025-02-04 15:13:52 install libc-dev-bin:amd64 <none> 2.35-0ubuntu3.8
2025-02-04 15:13:52 status half-installed libc-dev-bin:amd64 2.35-0ubuntu3.8
2025-02-04 15:13:52 status unpacked libc-dev-bin:amd64 2.35-0ubuntu3.8
2025-02-04 15:13:52 install linux-libc-dev:amd64 <none> 5.15.0-131.141
2025-02-04 15:13:52 status half-installed linux-libc-dev:amd64 5.15.0-131.141
2025-02-04 15:13:52 status unpacked linux-libc-dev:amd64 5.15.0-131.141
2025-02-04 15:13:52 install libcrypt-dev:amd64 <none> 1:4.4.27-1
2025-02-04 15:13:52 status half-installed libcrypt-dev:amd64 1:4.4.27-1
2025-02-04 15:13:52 status unpacked libcrypt-dev:amd64 1:4.4.27-1
2025-02-04 15:13:52 install rpcsvc-proto:amd64 <none> 1.4.2-0ubuntu6
2025-02-04 15:13:52 status half-installed rpcsvc-proto:amd64 1.4.2-0ubuntu6
2025-02-04 15:13:52 status unpacked rpcsvc-proto:amd64 1.4.2-0ubuntu6
2025-02-04 15:13:52 install libtirpc-dev:amd64 <none> 1.3.2-2ubuntu0.1
2025-02-04 15:13:52 status half-installed libtirpc-dev:amd64 1.3.2-2ubuntu0.1
