2025-02-13 16:02:46 status half-installed session-migration:amd64 0.3.6
2025-02-13 16:02:46 status unpacked session-migration:amd64 0.3.6
2025-02-13 16:02:46 install gsettings-desktop-schemas:all <none> 42.0-1ubuntu1
2025-02-13 16:02:46 status half-installed gsettings-desktop-schemas:all 42.0-1ubuntu1
2025-02-13 16:02:46 status unpacked gsettings-desktop-schemas:all 42.0-1ubuntu1
2025-02-13 16:02:46 install at-spi2-core:amd64 <none> 2.44.0-3
2025-02-13 16:02:46 status half-installed at-spi2-core:amd64 2.44.0-3
2025-02-13 16:02:46 status unpacked at-spi2-core:amd64 2.44.0-3
2025-02-13 16:02:46 install libc-dev-bin:amd64 <none> 2.35-0ubuntu3.9
2025-02-13 16:02:46 status half-installed libc-dev-bin:amd64 2.35-0ubuntu3.9
2025-02-13 16:02:46 status unpacked libc-dev-bin:amd64 2.35-0ubuntu3.9
2025-02-13 16:02:46 install linux-libc-dev:amd64 <none> 5.15.0-131.141
2025-02-13 16:02:46 status half-installed linux-libc-dev:amd64 5.15.0-131.141
2025-02-13 16:02:46 status unpacked linux-libc-dev:amd64 5.15.0-131.141
2025-02-13 16:02:46 install libcrypt-dev:amd64 <none> 1:4.4.27-1
2025-02-13 16:02:46 status half-installed libcrypt-dev:amd64 1:4.4.27-1
2025-02-13 16:02:46 status unpacked libcrypt-dev:amd64 1:4.4.27-1
2025-02-13 16:02:46 install rpcsvc-proto:amd64 <none> 1.4.2-0ubuntu6
2025-02-13 16:02:46 status half-installed rpcsvc-proto:amd64 1.4.2-0ubuntu6
2025-02-13 16:02:46 status unpacked rpcsvc-proto:amd64 1.4.2-0ubuntu6
2025-02-13 16:02:46 install libtirpc-dev:amd64 <none> 1.3.2-2ubuntu0.1
2025-02-13 16:02:46 status half-installed libtirpc-dev:amd64 1.3.2-2ubuntu0.1
2025-02-13 16:02:46 status unpacked libtirpc-dev:amd64 1.3.2-2ubuntu0.1
2025-02-13 16:02:46 install libnsl-dev:amd64 <none> 1.3.0-2build2
2025-02-13 16:02:46 status half-installed libnsl-dev:amd64 1.3.0-2build2
2025-02-13 16:02:46 status unpacked libnsl-dev:amd64 1.3.0-2build2
2025-02-13 16:02:46 install libc6-dev:amd64 <none> 2.35-0ubuntu3.9
2025-02-13 16:02:46 status half-installed libc6-dev:amd64 2.35-0ubuntu3.9
2025-02-13 16:02:46 status unpacked libc6-dev:amd64 2.35-0ubuntu3.9
2025-02-13 16:02:46 install gcc-11-base:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:46 status half-installed gcc-11-base:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:46 status unpacked gcc-11-base:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:46 install libisl23:amd64 <none> 0.24-2build1
2025-02-13 16:02:46 status half-installed libisl23:amd64 0.24-2build1
2025-02-13 16:02:46 status unpacked libisl23:amd64 0.24-2build1
2025-02-13 16:02:46 install libmpc3:amd64 <none> 1.2.1-2build1
2025-02-13 16:02:46 status half-installed libmpc3:amd64 1.2.1-2build1
2025-02-13 16:02:46 status unpacked libmpc3:amd64 1.2.1-2build1
2025-02-13 16:02:46 install cpp-11:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:46 status half-installed cpp-11:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:47 status unpacked cpp-11:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:47 install cpp:amd64 <none> 4:11.2.0-1ubuntu1
2025-02-13 16:02:47 status half-installed cpp:amd64 4:11.2.0-1ubuntu1
2025-02-13 16:02:47 status unpacked cpp:amd64 4:11.2.0-1ubuntu1
2025-02-13 16:02:47 install libcc1-0:amd64 <none> 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 status half-installed libcc1-0:amd64 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 status unpacked libcc1-0:amd64 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 install libgomp1:amd64 <none> 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 status half-installed libgomp1:amd64 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 status unpacked libgomp1:amd64 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 install libitm1:amd64 <none> 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 status half-installed libitm1:amd64 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 status unpacked libitm1:amd64 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 install libatomic1:amd64 <none> 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 status half-installed libatomic1:amd64 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 status unpacked libatomic1:amd64 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 install libasan6:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:47 status half-installed libasan6:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:47 status unpacked libasan6:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:47 install liblsan0:amd64 <none> 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 status half-installed liblsan0:amd64 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 status unpacked liblsan0:amd64 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 install libtsan0:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:47 status half-installed libtsan0:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:47 status unpacked libtsan0:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:47 install libubsan1:amd64 <none> 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 status half-installed libubsan1:amd64 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 status unpacked libubsan1:amd64 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 install libquadmath0:amd64 <none> 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:47 status half-installed libquadmath0:amd64 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:48 status unpacked libquadmath0:amd64 12.3.0-1ubuntu1~22.04
2025-02-13 16:02:48 install libgcc-11-dev:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:48 status half-installed libgcc-11-dev:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:48 status unpacked libgcc-11-dev:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:48 install gcc-11:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:48 status half-installed gcc-11:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:48 status unpacked gcc-11:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:48 install gcc:amd64 <none> 4:11.2.0-1ubuntu1
2025-02-13 16:02:48 status half-installed gcc:amd64 4:11.2.0-1ubuntu1
2025-02-13 16:02:48 status unpacked gcc:amd64 4:11.2.0-1ubuntu1
2025-02-13 16:02:48 install libstdc++-11-dev:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:48 status half-installed libstdc++-11-dev:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:48 status unpacked libstdc++-11-dev:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:48 install g++-11:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:48 status half-installed g++-11:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:49 status unpacked g++-11:amd64 11.4.0-1ubuntu1~22.04
2025-02-13 16:02:49 install g++:amd64 <none> 4:11.2.0-1ubuntu1
2025-02-13 16:02:49 status half-installed g++:amd64 4:11.2.0-1ubuntu1
2025-02-13 16:02:49 status unpacked g++:amd64 4:11.2.0-1ubuntu1
2025-02-13 16:02:49 install make:amd64 <none> 4.3-4.1build1
2025-02-13 16:02:49 status half-installed make:amd64 4.3-4.1build1
2025-02-13 16:02:49 status unpacked make:amd64 4.3-4.1build1
2025-02-13 16:02:49 install libdpkg-perl:all <none> 1.21.1ubuntu2.3
2025-02-13 16:02:49 status half-installed libdpkg-perl:all 1.21.1ubuntu2.3
2025-02-13 16:02:49 status unpacked libdpkg-perl:all 1.21.1ubuntu2.3
2025-02-13 16:02:49 install lto-disabled-list:all <none> 24
2025-02-13 16:02:49 status half-installed lto-disabled-list:all 24
2025-02-13 16:02:49 status unpacked lto-disabled-list:all 24
2025-02-13 16:02:49 install dpkg-dev:all <none> 1.21.1ubuntu2.3
2025-02-13 16:02:49 status half-installed dpkg-dev:all 1.21.1ubuntu2.3
2025-02-13 16:02:49 status unpacked dpkg-dev:all 1.21.1ubuntu2.3
2025-02-13 16:02:49 install build-essential:amd64 <none> 12.9ubuntu3
2025-02-13 16:02:49 status half-installed build-essential:amd64 12.9ubuntu3
2025-02-13 16:02:49 status unpacked build-essential:amd64 12.9ubuntu3
2025-02-13 16:02:49 install libfakeroot:amd64 <none> 1.28-1ubuntu1
2025-02-13 16:02:49 status half-installed libfakeroot:amd64 1.28-1ubuntu1
2025-02-13 16:02:49 status unpacked libfakeroot:amd64 1.28-1ubuntu1
2025-02-13 16:02:49 install fakeroot:amd64 <none> 1.28-1ubuntu1
2025-02-13 16:02:49 status half-installed fakeroot:amd64 1.28-1ubuntu1
2025-02-13 16:02:49 status unpacked fakeroot:amd64 1.28-1ubuntu1
2025-02-13 16:02:49 install fonts-dejavu-core:all <none> 2.37-2build1
2025-02-13 16:02:49 status half-installed fonts-dejavu-core:all 2.37-2build1
2025-02-13 16:02:49 status unpacked fonts-dejavu-core:all 2.37-2build1
2025-02-13 16:02:49 install fontconfig-config:all <none> 2.13.1-4.2ubuntu5
2025-02-13 16:02:49 status half-installed fontconfig-config:all 2.13.1-4.2ubuntu5
2025-02-13 16:02:49 status unpacked fontconfig-config:all 2.13.1-4.2ubuntu5
2025-02-13 16:02:49 install libfontconfig1:amd64 <none> 2.13.1-4.2ubuntu5
2025-02-13 16:02:49 status half-installed libfontconfig1:amd64 2.13.1-4.2ubuntu5
2025-02-13 16:02:49 status unpacked libfontconfig1:amd64 2.13.1-4.2ubuntu5
2025-02-13 16:02:49 install fontconfig:amd64 <none> 2.13.1-4.2ubuntu5
2025-02-13 16:02:49 status half-installed fontconfig:amd64 2.13.1-4.2ubuntu5
2025-02-13 16:02:49 status unpacked fontconfig:amd64 2.13.1-4.2ubuntu5
2025-02-13 16:02:49 install gyp:all <none> 0.1+20210831gitd6c5dd5-5
2025-02-13 16:02:49 status half-installed gyp:all 0.1+20210831gitd6c5dd5-5
2025-02-13 16:02:49 status unpacked gyp:all 0.1+20210831gitd6c5dd5-5
2025-02-13 16:02:49 install libalgorithm-diff-perl:all <none> 1.201-1
2025-02-13 16:02:49 status half-installed libalgorithm-diff-perl:all 1.201-1
2025-02-13 16:02:49 status unpacked libalgorithm-diff-perl:all 1.201-1
2025-02-13 16:02:49 install libalgorithm-diff-xs-perl:amd64 <none> 0.04-6build3
2025-02-13 16:02:49 status half-installed libalgorithm-diff-xs-perl:amd64 0.04-6build3
2025-02-13 16:02:49 status unpacked libalgorithm-diff-xs-perl:amd64 0.04-6build3
2025-02-13 16:02:49 install libalgorithm-merge-perl:all <none> 0.08-3
2025-02-13 16:02:49 status half-installed libalgorithm-merge-perl:all 0.08-3
2025-02-13 16:02:49 status unpacked libalgorithm-merge-perl:all 0.08-3
2025-02-13 16:02:49 install libatk1.0-data:all <none> 2.36.0-3build1
2025-02-13 16:02:49 status half-installed libatk1.0-data:all 2.36.0-3build1
2025-02-13 16:02:49 status unpacked libatk1.0-data:all 2.36.0-3build1
2025-02-13 16:02:49 install libatk1.0-0:amd64 <none> 2.36.0-3build1
2025-02-13 16:02:49 status half-installed libatk1.0-0:amd64 2.36.0-3build1
2025-02-13 16:02:49 status unpacked libatk1.0-0:amd64 2.36.0-3build1
2025-02-13 16:02:49 install libatk-bridge2.0-0:amd64 <none> 2.38.0-3
2025-02-13 16:02:49 status half-installed libatk-bridge2.0-0:amd64 2.38.0-3
2025-02-13 16:02:49 status unpacked libatk-bridge2.0-0:amd64 2.38.0-3
2025-02-13 16:02:49 install libavahi-common-data:amd64 <none> 0.8-5ubuntu5.2
